TASK 0: hclew sretep snommis revaew serrot reizarf 	11
TASK 1: yelnats sniknej ttocs naed nodrog relluf 	7
TASK 2: rednaxela enots noslen noxid eneerg oremor 	11
TASK 3: smailliw senrab gnol ydennek azrag snikwah 	3
TASK 4: kcalb nosirrah sdleif yeldarb llewoh nampahc 	4
TASK 5: sdrawde snevets noslen nosredneh nospmoht nesnah 	9
TASK 6: drofwarc reprah snommis sleinad sllim yevrah 	6
TASK 7: rewerb enyap oremor hcnyl dier yad 	8
TASK 8: drawoh sdrahcir nacnud eroom navillus noskcaj 	8
TASK 9: sknab snehpets zednanref sirrom mahgninnuc ssor 	4
TASK 10: yoccm kooc senrab tnarg nworb sretep 	2
TASK 11: yeldarb dier nosraep ecallaw tnarg snikwah 	2
TASK 12: nameloc eroom sregor snave llebpmac nosliw 	3
TASK 13: slohcin yarg dnalloh arevir anidem anidem 	8
TASK 14: enal elttil nosugref snewo snikwah zednanref 	4
TASK 15: nosnibor smada zurc yrreb nosmailliw repooc 	7
TASK 16: noslrac gnol yar nampahc serolf nosliw 	9
TASK 17: seyer llih snevets reltub revilo rewerb 	3
TASK 18: rekcut anidem repooc nadroj enots nosduh 	11
TASK 19: gnol kooc yhprum yevrah llewop serolf 	7
TASK 20: nayr retsof selaznog notsnhoj nosnibor nospmoht 	5
TASK 21: reyem nosredneh sretep gnol onerom nitram 	6
TASK 22: neerg sdrahcir snehpets llehctim retrac noslen 	7
TASK 23: llorrac sdleif nosredna nerraw trah yad 	6
TASK 24: nosretep serrot nosrettap enal snikrep sllew 	5
TASK 25: neyugn revilo nostaw snikwah skoorb nampahc 	11
TASK 26: yellek xof xoc dlanodcm recneps noslen 	7
TASK 27: snehpets sdrawde yrreb namfoh notlimah navillus 	2
TASK 28: redyns somar strebor llehctim nosbig sllim 	3
TASK 29: selaznog dlonra sirrah seyah niffirg llewop 	2
